Item,Quantity,UnitPrice
Oranges,10,5.04
Rice,2,5.91
Bananas,10,4.26
Apples,1,3.94
Apples,8,3.94
Bananas,6,4.26
Pasta,8,4.5
Bananas,4,4.26
Eggs,5,6.89
Bread,10,7.57
Apples,2,3.94
Bread,9,7.57
Eggs,8,6.89
Bananas,10,4.26
Eggs,2,6.89
Oranges,1,5.04
Bread,3,7.57
Pasta,4,4.5
Milk,9,4.02
Potatoes,4,6.71
Apples,9,3.94
Eggs,3,6.89
Eggs,7,6.89
Bread,5,7.57
Apples,10,3.94
Eggs,8,6.89
Chicken,7,1.36
Potatoes,2,6.71
Pasta,3,4.5
Rice,9,5.91
Rice,5,5.91
Oranges,10,5.04
Milk,10,4.02
Eggs,5,6.89
Milk,2,4.02
Potatoes,2,6.71
Oranges,9,5.04
Eggs,7,6.89
Apples,6,3.94
Bananas,7,4.26
Rice,1,5.91
Rice,1,5.91
Rice,1,5.91
Pasta,6,4.5
Pasta,8,4.5
Rice,8,5.91
Eggs,3,6.89
Rice,6,5.91
Pasta,3,4.5
Potatoes,6,6.71
Chicken,10,1.36
Chicken,3,1.36
Rice,7,5.91
Bananas,5,4.26
Milk,1,4.02
Bananas,3,4.26
Chicken,10,1.36
Eggs,10,6.89
Bananas,9,4.26
Apples,6,3.94
Rice,7,5.91
Oranges,7,5.04
Pasta,3,4.5
Rice,8,5.91
Potatoes,8,6.71
Rice,3,5.91
Eggs,4,6.89
Potatoes,5,6.71
Bananas,5,4.26
Rice,2,5.91
Oranges,10,5.04
Rice,2,5.91
Rice,10,5.91
Oranges,3,5.04
Eggs,4,6.89
Potatoes,6,6.71
Pasta,8,4.5
Oranges,2,5.04
Apples,9,3.94
Rice,2,5.91
Eggs,2,6.89
Potatoes,5,6.71
Eggs,10,6.89
Pasta,10,4.5
Eggs,2,6.89
Milk,5,4.02
Oranges,9,5.04
Apples,10,3.94
Oranges,4,5.04
Pasta,9,4.5
Milk,5,4.02
Oranges,10,5.04
Apples,10,3.94
Eggs,8,6.89
Chicken,6,1.36
Chicken,5,1.36
Rice,7,5.91
Rice,6,5.91
Bread,2,7.57
Milk,8,4.02
